line,frame_path,long_edge_m,short_edge_m,long_edge_to_lateral_rad,rectangularity,y_median,y_p05,y_p95,u_median,u_p05,u_p95,v_median,v_p05,v_p95
1,/home/madejuele/projects/2K0300/new/verification/ml-v9-board-calibration-20260713T163406Z/ml_calibration_0.yuyv,0.11448578719363836,0.041626139781903555,2.300495822589189e-16,0.9879156009758758,89,59.0,211.0,116,112.0,136.0,179,122.0,186.0
2,/home/madejuele/projects/2K0300/new/verification/ml-v9-board-calibration-20260713T163406Z/ml_calibration_1.yuyv,0.11448578719363836,0.041626139781903555,2.300495822589189e-16,0.9879156009758758,87,56.0,208.39999999999986,116,112.0,136.0,178,122.0,185.0
3,/home/madejuele/projects/2K0300/new/verification/ml-v9-board-calibration-20260713T163406Z/ml_calibration_2.yuyv,0.11448578719363836,0.041626139781903555,2.300495822589189e-16,0.9879156009758758,87,53.6,210.0,116,113.0,136.0,178,122.0,185.0
4,/home/madejuele/projects/2K0300/new/verification/ml-v9-board-calibration-20260713T163406Z/ml_calibration_3.yuyv,0.11448578719363836,0.041626139781903555,2.300495822589189e-16,0.9879156009758758,87,55.0,208.39999999999986,116,111.0,136.0,178,122.0,185.0
5,/home/madejuele/projects/2K0300/new/verification/ml-v9-board-calibration-20260713T163406Z/ml_calibration_4.yuyv,0.11448578719363836,0.041626139781903555,2.300495822589189e-16,0.9879156009758758,87,55.0,209.0,117,112.6,136.0,178,122.0,185.0
6,/home/madejuele/projects/2K0300/new/verification/ml-v9-board-calibration-20260713T163406Z/ml_calibration_5.yuyv,0.11448578719363836,0.041626139781903555,2.300495822589189e-16,0.9879156009758758,86,57.0,206.1999999999996,116,113.0,136.0,178,122.0,185.0
7,/home/madejuele/projects/2K0300/new/verification/ml-v9-board-calibration-20260713T163406Z/ml_calibration_6.yuyv,0.11448578719363836,0.041626139781903555,2.300495822589189e-16,0.9879156009758758,87,56.0,207.1999999999996,116,112.0,135.0,178,122.0,184.0
8,/home/madejuele/projects/2K0300/new/verification/ml-v9-board-calibration-20260713T163406Z/ml_calibration_7.yuyv,0.11448578719363836,0.041626139781903555,2.300495822589189e-16,0.9879156009758758,87,57.0,207.0,116,111.0,136.0,178,122.0,185.0
